Rank,Name,Country,Sector,CAGR,Revenue2020,Revenue2017,Employees2020,Employees2017,FoundingYear,Change % in Employees
642,GeoTeam,Italy,Energy,51.42,7623730,2195780,120,71,2008,-69.01408450704226
643,Leascorp,France,Financial Services,51.4,18481247,5325214,7,4,2014,-75.0
644,Positive Healthcare,UK,Management Consulting,51.38,6731831,1954609,19,3,2014,-533.3333333333333
645,Ralph Schmolke,Germany,Retail,51.34,2281929,658317,8,4,2010,-100.0
646,Roomie Milano,Italy,Property,51.17,3728920,1079340,10,2,2016,-400.0
647,Trencadis Corp,Romania,Technology,51.17,20410511,6137755,89,40,2007,-122.50000000000001
648,WORTEKS,France,Technology,51.17,1870845,541582,11,4,2016,-175.0
649,REMOVE,France,Construction,51.05,8988475,2608093,74,27,2015,-174.07407407407408
650,Citadelo,Czech Republic,Cyber Security,50.95,1556521,452557,27,15,2006,-80.0
651,Grill Autoservice,Germany,Automobiles,50.86,18141216,5283415,26,13,2017,-100.0
652,Inbrooll,Spain,Industrial Goods,50.82,2663110,776268,15,8,2013,-87.5
653,Cross,Germany,Retail,50.75,88590000,25858983,4,3,2010,-33.33333333333333
654,B1gas S.p.A,Italy,Energy,50.75,41474660,12106480,6,2,2010,-200.0
655,Filva,Italy,Construction,50.69,6188900,1808710,10,8,2009,-25.0
656,Archingest,Italy,Construction,50.56,3515000,1030000,6,2,2005,-200.0
657,Alpha FX Group,UK,Financial Services,50.55,51640733,15241075,124,51,2009,-143.13725490196077
658,lemonads,Switzerland,Advertising,50.53,4952255,1451770,50,7,2012,-614.2857142857143
659,Signicat,Norway,Technology,50.43,42514150,13309441,213,71,2007,-200.0
660,Alfred Döpker,Germany,Construction,50.42,77358225,22730529,55,41,1965,-34.146341463414636
661,Bavaria-Ei,Germany,Retail,50.38,13067279,3842670,88,42,2001,-109.52380952380953
662,Oxylabs.io,Lithuania,Technology,50.26,25040954,7381686,245,57,2015,-329.82456140350877
663,A.S.H. Automobile,Germany,Automobiles,50.25,2333452,687958,5,2,2014,-150.0
664,Vascular,Hungary,Health,50.13,29099679,9987236,57,18,2007,-216.66666666666666
665,ANDJARO,France,Support Services,50.07,3189298,943718,57,30,2015,-90.0
666,Röhrtaler Wertstoff,Germany,Waste management & recycling,50.01,3286187,973460,34,22,2013,-54.54545454545454
667,Autel Karnetic,UK,Technology,49.99,8520830,2543343,7,6,2016,-16.666666666666664
668,Discoup.com,Italy,Advertising,49.86,2075110,616520,10,8,2013,-25.0
669,Hellas Direct,Cyprus,Insurance,49.86,34488971,10247832,85,52,2011,-63.46153846153846
670,HERRLES,Germany,Automobiles,49.85,10242075,3044054,45,30,2009,-50.0
671,Investmentpunk Academy,Austria,Education,49.73,3179000,947000,12,6,2016,-100.0
672,Born Stahlbau,Germany,Industrial Goods,49.64,4527093,1351164,13,6,2015,-116.66666666666667
673,RETTEL Projektbau,Germany,Construction,49.62,8073458,2410212,7,5,2016,-40.0
674,Suntronic,Italy,Energy,49.61,2347320,700960,4,2,2005,-100.0
675,TMT,Italy,Industrial Goods,49.6,12763524,3811838,42,6,2014,-600.0
676,Gedankenburg,Germany,Advertising,49.59,2950010,881275,5,2,2015,-150.0
677,SVOP Special Vehicle Operation,Sweden,Automobiles,49.49,4526309,1385662,16,6,2013,-166.66666666666669
678,Glenholme Healthcare Group,UK,Health,49.48,14845073,4476517,415,132,2011,-214.3939393939394
679,AUDENSIEL,France,Technology,49.47,57451279,17203160,720,230,2013,-213.0434782608696
680,Ivnosys,Spain,Technology,49.47,8743069,2618069,106,34,2011,-211.76470588235296
681,Mulconsa,Spain,Construction,49.46,6687402,2002982,45,30,2012,-50.0
682,50NRTH,Germany,Retail,49.44,35107348,10518963,54,14,2004,-285.7142857142857
683,Delecto,Croatia,Retail,49.43,2649288,793957,10,6,2008,-66.66666666666666
684,Mardruk Opakowania,Poland,Industrial Goods,49.38,3226645,1058063,47,7,2015,-571.4285714285714
685,MANANG,France,Construction,49.36,6205559,1862272,40,15,2012,-166.66666666666669
686,bestbion dx,Germany,Health,49.36,14863628,4461170,27,21,2011,-28.57142857142857
687,Avamore Capital,UK,Financial Services,49.27,2552248,772943,21,7,2015,-200.0
688,Solaris and more,Germany,Energy,49.14,4692660,1414501,30,13,2011,-130.76923076923077
689,Clearcycle,UK,Retail,49.14,2176368,660767,11,8,2015,-37.5
690,Opteamis,France,Support Services,49.1,13856500,4180523,35,12,2005,-191.66666666666669
691,Codenor,Spain,Construction,49.08,6385196,1926967,20,10,2010,-100.0
692,HAPPYBULLE,France,Ecommerce,49.05,4209975,1271353,18,8,2015,-125.0
693,Aurora Energy Research,UK,Energy,49.04,15079425,4587687,158,46,2013,-243.47826086956525
694,Bacci,Spain,Fashion,49.03,24048302,7265350,14,19,2003,26.31578947368421
695,Emilia Foods,Italy,Food & Beverage,48.99,26824140,8110160,25,8,2013,-212.5
696,T.E.A.M. - Ti educa a migliorare,Italy,Health,48.91,3370490,1020690,211,82,2001,-157.3170731707317
697,Brainhub,Poland,Technology,48.9,3513741,1163241,75,30,2016,-150.0
698,Assitech,Italy,Construction,48.89,2675750,810750,9,10,2016,10.0
699,Schott Packaging,UK,Ecommerce,48.82,2272847,694501,11,4,2016,-175.0
700,Alba,Italy,Energy,48.78,3299330,1001740,30,12,2010,-150.0
701,FinTrU,UK,Financial Services,48.73,32392546,9915609,740,219,2013,-237.89954337899545
702,Global Edilizia,Italy,Construction,48.66,4028000,1226000,5,4,2011,-25.0
703,TPXimpact,UK,Management Consulting,48.62,57093437,17515305,381,2,2016,-18950.0
704,LGS SportLab,Italy,Advertising,48.62,4014220,1222870,9,6,2010,-50.0
705,Weiser Brandschutz & Technik,Germany,Construction,48.56,5986199,1825769,45,4,2005,-1025.0
706,Fairfax and Favor,UK,Fashion,48.4,18178322,5602279,47,13,2013,-261.53846153846155
707,FAO Consulting,France,Technology,48.34,7781600,2384156,85,39,2014,-117.94871794871796
708,Gruppo Del Barba Consulting,Italy,Financial Services,48.33,5855040,1794120,37,8,2010,-362.5
709,Exclaimer,UK,Technology,48.28,26143857,8075796,109,62,2003,-75.80645161290323
710,Join Business Management Consulting,Italy,Management Consulting,48.23,10189790,3128700,77,25,2013,-208.0
711,Vennes,Germany,Construction,48.14,17048000,5244000,57,27,2003,-111.11111111111111
712,Piggy,The Netherlands,Technology,48.13,2946126,906341,31,7,2013,-342.85714285714283
713,Epassi,Finland,Fintech,48.1,205312456,63207258,130,40,2007,-225.0
714,Atheneum Partners,Germany,Technology,48.01,33400000,10300000,315,150,2010,-110.00000000000001
715,Pharmacy2U,UK,Technology,47.96,156232906,48580102,454,211,1999,-115.16587677725119
716,PHOENIX DEVELOPPEMENT,France,Support Services,47.85,1797294,556159,18,6,2011,-200.0
717,Wiwie Transport,Germany,Transport,47.83,4200000,1300000,25,10,2016,-150.0
718,Mevas Auto Center,Romania,Automobiles,47.81,2595034,834708,31,23,2003,-34.78260869565217
719,BK Beachhouse Mode,Germany,Retail,47.79,5172479,1602458,35,21,2015,-66.66666666666666
720,F.lli Urso,Italy,Construction,47.76,2009090,622800,9,3,2015,-200.0
721,GoHenry,UK,Financial Services,47.7,22020382,6882489,166,61,2011,-172.1311475409836
722,Adrilog,Italy,Transport,47.64,57057180,17727950,816,634,2014,-28.706624605678233
723,Attachment,UK,Advertising,47.63,7191249,2250946,6,2,2015,-200.0
724,PARIS HERBES,France,Agricultural Commodities,47.63,12934943,4020469,25,15,2015,-66.66666666666666
725,Interlog Logistic,France,Transport,47.62,5480946,1703819,28,37,2015,24.324324324324326
726,Conglomerati Bituminosi,Italy,Construction,47.53,33371870,10393680,75,34,1975,-120.58823529411764
727,Nikkel Art,Belgium,Ecommerce,47.49,3762160,1172617,26,5,2010,-420.0
728,Esyen,Italy,Technology,47.45,3868940,1206770,25,9,2011,-177.77777777777777
729,Sav-eco Packaging Ltd,UK,Industrial Goods,47.4,16923940,5322238,165,104,2014,-58.65384615384615
730,Elmar Mair Tiefbau,Germany,Construction,47.36,2302685,719638,19,8,2016,-137.5
731,ATLAS Innovative Engineering,Spain,Energy,47.26,3495981,1094666,15,12,2014,-25.0
732,SECURE-IC,France,Technology,47.26,6934182,2171492,76,48,2010,-58.333333333333336
733,DATALYO,France,Technology,47.18,3544255,1111687,36,16,2014,-125.0
734,Signify Technology,UK,Management Consulting,47.17,2547992,805029,29,14,2016,-107.14285714285714
735,BOXT,UK,Ecommerce,47.16,38373430,12127395,59,20,2017,-195.0
736,James and James Fulfilment,UK,Ecommerce,47.16,30887883,9762332,158,55,2010,-187.27272727272728
737,Armonie,Italy,Food & Beverage,47.16,2803150,879670,9,5,2014,-80.0
738,Maverick Group,Italy,Technology,46.94,5313290,1674690,5,1,2017,-400.0
739,Brainpull,Italy,Advertising,46.93,4264120,1344240,29,10,2012,-190.0
740,Wiseband,France,Media,46.91,1636674,516164,15,4,2014,-275.0
741,Groupe Ezdo La Boulangerie Des Gourmets,France,Agricultural Commodities,46.89,40777823,12867410,15,4,2013,-275.0
742,Pakar Service,Poland,Support Services,46.77,9729642,3363800,396,257,2010,-54.08560311284047
743,BIO-UV,France,Industrial Goods,46.75,32175000,10181000,117,62,2000,-88.70967741935483
744,F.G. Service,Italy,Construction,46.67,2554140,809450,14,2,2015,-600.0
745,Allways Logistics System,Italy,Transport,46.66,9569120,3033150,125,2,2012,-6150.0
746,Matsmart,Sweden,Ecommerce,46.65,49576899,16075963,164,75,2013,-118.66666666666667
747,autargo,Germany,Construction,46.64,1807173,573070,5,2,2016,-150.0
748,Brewshop.no,Norway,Food & Beverage,46.63,4392988,1484883,9,7,2015,-28.57142857142857
749,Visualitics,Italy,Technology,46.63,2131000,676000,15,3,2016,-400.0
750,HiFi extra,Germany,Retail,46.61,49190436,15610826,32,14,2016,-128.57142857142858
751,Ankerkraut,Germany,Food & Beverage,46.5,26010474,8271702,150,70,2013,-114.28571428571428
752,GDA,Italy,Fashion,46.37,20745690,6615000,205,98,2008,-109.18367346938776
753,Nexid,Italy,Technology,46.36,2696270,859960,25,9,2006,-177.77777777777777
754,GS Studio & Service,Italy,Energy,46.32,2087000,666210,16,7,2013,-128.57142857142858
755,Neosperience,Italy,Technology,46.28,16367000,5229000,160,60,2006,-166.66666666666669
756,Lunos,Slovenia,Technology,46.26,6356404,2031522,16,11,2010,-45.45454545454545
757,Meic Costruzioni,Italy,Construction,46.26,10456300,3342120,71,39,2013,-82.05128205128204
758,Trident Lifting Solutions Ltd,UK,Construction,46.22,15846632,5105700,14,12,2016,-16.666666666666664
759,Smart Battery Solutions,Germany,Technology,46.22,10203000,3264000,69,28,2010,-146.42857142857142
760,eu-bay Commerce,Germany,Retail,46.16,8122686,2601485,20,10,2003,-100.0
761,Jens Rabe Academy,Germany,Education,46.13,3655345,1171373,20,6,2009,-233.33333333333334
762,Hyperoptic,UK,Telecoms,46.12,57766084,18649681,1251,407,2010,-207.37100737100738
763,SEPALE,France,Energy,46.02,7879983,2531055,21,2,2009,-950.0
764,3A Informatica,Italy,Telecoms,45.92,1970000,633990,33,19,2005,-73.68421052631578
765,EMSPROTO,France,Ecommerce,45.91,3136947,1009846,22,10,2014,-120.0
766,Laboratoires Dermosun,France,Chemicals & Pharmaceuticals,45.79,5626849,1815835,13,9,2011,-44.44444444444444
767,Saico,Italy,Construction,45.71,6737600,2177950,23,13,2013,-76.92307692307693
768,Nutis,Italy,Food & Beverage,45.66,6566530,2124990,19,9,1956,-111.11111111111111
769,Ogrodosfera.pl,Poland,Ecommerce,45.61,13256472,4693330,23,12,2011,-91.66666666666666
770,SVTI,France,Industrial Goods,45.58,3981300,1290312,30,17,2010,-76.47058823529412
771,Enhancers,Italy,Technology,45.53,3352210,1087520,38,13,2011,-192.30769230769232
772,AGRIPOWER FRANCE,France,Waste management & recycling,45.53,7701275,2498792,16,6,2012,-166.66666666666669
773,Next Turbo Technologies,Italy,Industrial Goods,45.46,9481040,3080610,18,8,2014,-125.0
774,Velvet Media Italia,Italy,Advertising,45.42,5411160,1759490,98,46,2013,-113.04347826086956
775,Booster Box,Italy,Advertising,45.32,2049365,667837,35,9,2016,-288.88888888888886
777,Darwin Group Limited,UK,Construction,45.24,70393894,23141358,140,89,2005,-57.30337078651685
778,ITFS,Poland,Technology,45.2,10446862,3730405,230,90,2012,-155.55555555555557
779,SKILLSDAY,France,Education,45.13,3154795,1031988,25,9,2015,-177.77777777777777
780,Gapps,Finland,Technology,45.1,8707000,2850000,34,23,2010,-47.82608695652174
781,Maxfel,Italy,Interiors,45.09,2201160,720650,15,6,1984,-150.0
782,Herrero Brigantina,Spain,Insurance,44.98,14725853,4832212,55,33,2012,-66.66666666666666
783,Manitech,Italy,Industrial Goods,44.79,3834910,1263420,6,3,2016,-100.0
784,Tradeco,Italy,Industrial Goods,44.68,5889890,1944720,16,6,2016,-166.66666666666669
785,MON CHASSEUR IMMO,France,Property,44.6,4794423,1585727,28,13,2012,-115.38461538461537
786,UpSlide,France,Support Services,44.58,8274214,2737704,75,20,2013,-275.0
787,COGECLIM ENERGIES,France,Construction,44.54,2622506,868406,18,5,2015,-260.0
788,Cellarius,Hungary,Sales & Marketing,44.49,2571079,989785,14,10,2004,-40.0
789,careful-service,Germany,Health,44.44,3537769,1173908,141,75,2014,-88.0
790,Softneta,Lithuania,Health,44.4,1778249,590642,30,24,2007,-25.0
791,Progeny,UK,Financial Services,44.33,16601337,5561585,161,64,2016,-151.5625
792,Web Geo Services,France,Technology,44.32,24114000,8022358,57,29,2009,-96.55172413793103
793,Spedition Ibov,Germany,Transport,44.29,3424863,1140000,30,10,2013,-200.0
794,MyPostcard.com,Germany,Retail,44.23,6358307,2119022,25,21,2014,-19.047619047619047
795,VARIOSAN,Germany,Retail,44.19,3233968,1078808,3,2,2013,-50.0
796,Riedle + Bertsch,Germany,Technology,44.18,2331579,777849,36,8,2013,-350.0
797,Mobili Fiver,Italy,Interiors,44.13,11897820,3973460,50,23,1999,-117.3913043478261
798,KLC DESAMIANTAGE,France,Construction,44.12,6182419,2065220,46,11,2015,-318.1818181818182
799,SECRET ARTS OF SPIRITS,France,Retail,44.1,3308224,1105569,6,3,2014,-100.0
800,MPB Group Limited,UK,Ecommerce,44.05,72503245,24429686,184,68,2011,-170.58823529411765
801,3zehn Auto Discount,Germany,Automobiles,43.97,25448057,8527777,12,5,2016,-140.0
802,ADIKTEEV,France,Technology,43.95,45616000,15292051,67,50,2012,-34.0
803,Fundis Reitsport,Germany,Retail,43.92,7066208,2370645,50,3,2009,-1566.6666666666665
804,Antriebstechnik Ebner-Seibold,Germany,Retail,43.91,2245423,753352,17,9,2009,-88.88888888888889
805,Invibes Advertising,Belgium,Technology,43.76,11530000,3880663,102,30,2011,-240.0
806,Jointly il welfare condiviso,Italy,Support Services,43.72,2400550,808700,34,18,2014,-88.88888888888889
807,ABTOT Mark & Anläggning AB,Sweden,Construction,43.57,9983094,3450305,23,10,2012,-130.0
808,DUSAPRO Immobilien,Germany,Property,43.45,33903865,11484801,36,10,2012,-260.0
809,SOLDATS FILMS,France,Media,43.39,2320653,787160,8,4,2012,-100.0
810,Eagleprojects,Italy,Telecoms,43.37,15140480,5137900,287,120,2016,-139.16666666666666
811,Agile Lab,Italy,Technology,43.35,5590450,1897650,43,15,2013,-186.66666666666666
812,importpris.no,Norway,Ecommerce,43.32,3113197,1126971,8,4,2012,-100.0
813,truu,Germany,Industrial Goods,43.22,12472561,4245861,72,18,2011,-300.0
814,L’Atelier,France,Technology,43.17,4288024,1461226,15,5,2016,-200.0
815,frigoclim Kälte-Klima,Germany,Construction,43.16,3890690,1326082,22,7,2014,-214.28571428571428
816,M Coffee Company,Germany,Retail,43.09,2117442,722795,5,3,2013,-66.66666666666666
817,PROTEXTYL,France,Retail,43.07,5324116,1818032,22,12,2011,-83.33333333333334
818,SP architecte,France,Construction,43.07,2825876,964998,18,14,2009,-28.57142857142857
819,Embargos a lo bestia,Spain,Retail,43.03,22559217,7709375,178,54,2011,-229.62962962962962
820,Snigel,Ireland,Technology,43.02,20479764,7000063,3,2,2011,-50.0
821,IMS Rettungsdienst,Germany,Health,42.98,1900000,650000,120,5,2006,-2300.0
822,Way2Global SB,Italy,Support Services,42.76,2411600,828820,16,1,2017,-1500.0
823,Media Access Solutions,UK,Support Services,42.68,3407930,1181642,33,3,2014,-1000.0
824,Exadi,Spain,Sales and Marketing,42.65,42525086,14649568,44,21,2008,-109.52380952380953
825,Fiber-Service-Gesellschaft,Germany,Telecoms,42.63,4049655,1395607,29,10,2014,-190.0
826,TenderHut (Group),Poland,Technology,42.61,10264611,3868483,280,140,2010,-100.0
827,Worldwide Fishing Company,Spain,Food & Beverage,42.58,140442673,48449141,30,12,2016,-150.0
828,Doctor Hail spa,Italy,Automobiles,42.57,18101114,6246592,43,26,2013,-65.38461538461539
829,KBS Group,Germany,Support Services,42.55,42006000,14500000,1500,650,2011,-130.76923076923077
830,Terre Ehitus,Estonia,Construction,42.43,2089215,723064,12,5,2017,-140.0
831,Bauer Energiekonzepte,Germany,Energy,42.36,36223730,12554325,19,7,2013,-171.42857142857142
832,New Euroart,Italy,Construction,42.36,9307640,3226280,77,26,2001,-196.15384615384613
833,Capelli For You,Italy,Beauty,42.34,1658750,575120,16,8,2015,-100.0
834,Ogury,UK,Advertising,42.33,108758853,37992902,371,133,2014,-178.94736842105263
835,TFT Ernst,Germany,Construction,42.31,2012427,698300,17,7,2017,-142.85714285714286
836,Somerford Associates,UK,Technology,42.24,18757685,6564162,55,31,2001,-77.41935483870968
837,ARCADIA Investment,Germany,Property,42.19,8102218,2818652,38,12,2012,-216.66666666666666
838,FiloBlu,Italy,Management Consulting,42.13,55564420,19351090,186,112,2009,-66.07142857142857
839,Tribus Digital,UK,Technology,42.09,1952800,685567,21,8,2016,-162.5
840,DoIT,Italy,Technology,42.08,3040000,1060000,35,20,2014,-75.0
841,Global Perspectives,UK,Health,42.06,6631496,2329522,23,8,2009,-187.5
842,Pirene,Italy,Support Services,42.04,1512680,527910,25,8,1999,-212.5
843,iPulse,UK,Personal & Household Goods,41.99,105149602,36995102,183,39,2012,-369.2307692307692
844,blue networks,Germany,Technology,41.84,6626713,2322241,47,23,2002,-104.34782608695652
845,N. Schwegler,Germany,Construction,41.82,10514000,3686000,35,20,2009,-75.0
846,Marcus Lutz Bau,Germany,Construction,41.66,1874438,659402,15,7,2002,-114.28571428571428
847,HKR-Technik,Germany,Retail,41.64,6996880,2462478,4,3,2008,-33.33333333333333
848,Licht + Strom,Germany,Technology,41.54,4039340,1424633,30,18,2007,-66.66666666666666
849,Die Autowelt,Germany,Automobiles,41.49,16754654,5915499,40,15,2009,-166.66666666666669
850,ARTHEAU AVIATION,France,Aerospace & Defence,41.48,11263318,3977562,9,4,2012,-125.0
851,Cepo,Italy,Industrial Goods,41.42,4503670,1592170,22,13,2000,-69.23076923076923
853,89up,UK,Advertising,41.35,1814237,647020,26,11,2009,-136.36363636363635
854,LUXURY & PERFORMANCE SELECTION,France,Automobiles,41.35,6444045,2281929,4,10,2016,60.0
855,Grayce Group,UK,Management Consulting,41.34,17890928,6381674,395,117,2012,-237.60683760683762
856,Nemesi Italia,Italy,Technology,41.28,1640000,581520,4,1,1993,-300.0
857,Halo Service Solutions,UK,Technology,41.28,5037087,1799189,40,12,1994,-233.33333333333334
858,Raspberry Pi,UK,Technology,41.16,80066074,28668484,73,36,2012,-102.77777777777777
859,Giopato & Coombes,Italy,Interiors,41.16,5467910,1944000,17,8,2010,-112.5
860,Ship it,Germany,Retail,41.1,3391041,1207009,8,4,2016,-100.0
861,Rheinische Scheidestätte,Germany,Retail,41.1,83044963,29564866,47,19,2012,-147.36842105263156
862,Whites Agency,Poland,Advertising,41.09,4076348,1586246,90,34,2011,-164.70588235294116
863,Casa di Riposo Medicalizzata Sempione*,Italy,Health,41.06,2436000,867960,38,1,2017,-3700.0
864,CShark,Poland,Technology,41.04,11828515,4608343,269,135,2014,-99.25925925925925
865,Zinox Laser,Italy,Interiors,41.02,6364000,2269510,47,30,2015,-56.666666666666664
866,Tera Automation,Italy,Industrial Goods,41.01,4987860,1778890,20,14,2013,-42.857142857142854
867,Innova Hts,Italy,Health,40.98,8792400,3137630,16,12,2014,-33.33333333333333
868,Kentigen,Czech Republic,Technology,40.91,1507867,554004,20,8,2013,-150.0
869,Teal Partners,Belgium,Technology,40.84,3873750,1386701,23,13,2015,-76.92307692307693
870,LM Medical Division,Italy,Health,40.82,11281040,4040060,47,16,2010,-193.75
871,BEC,Germany,Technology,40.81,7843183,2809036,47,25,2003,-88.0
872,Xylon,Croatia,Technology,40.77,4491888,1610149,81,41,1995,-97.5609756097561
873,Spedition Kai Rindert,Germany,Transport,40.7,3018684,1083821,9,2,2017,-350.0
874,CO.GE.SA. Costruzioni Generali Saba,Italy,Construction,40.63,3453730,1241760,22,16,2009,-37.5
875,Skärgårdstunnan/Skargards,Sweden,Ecommerce,40.62,15082088,5547537,20,13,2010,-53.84615384615385
876,Autonova Milano,Italy,Automobiles,40.5,2790680,1006280,14,1,2015,-1300.0
877,Polarstern,Germany,Energy,40.45,30270074,10925375,40,25,2011,-60.0
878,halsdorfer + ingenieure projekt,Germany,Property,40.43,31038460,11207566,15,5,2013,-200.0
879,OPNA,France,Support Services,40.36,2317903,838200,23,9,2015,-155.55555555555557
880,Stikets,Spain,Ecommerce,40.32,9318626,3372820,39,25,2010,-56.00000000000001
881,CampuStore,Italy,Education,40.23,34410600,12479120,18,18,1994,0.0
882,Ars Futura,Croatia,Technology,40.22,1580154,574487,27,14,2013,-92.85714285714286
883,Cemir Security,Italy,Support Services,40.21,2835330,1028730,116,64,2015,-81.25
884,Borgy CZ,Czech Republic,Personal & Household Goods,40.2,22419033,8362568,60,40,2009,-50.0
885,Groupe Zephyr,France,Health,40.15,16264645,5908517,600,190,2007,-215.78947368421052
886,Dernier Cri,France,Technology,40.11,3956061,1438184,57,25,2015,-128.0
887,yes!devs,Germany,Technology,40.1,2200000,800000,37,10,2016,-270.0
888,Hydroflex Group,Germany,Retail,40.1,13166000,4788000,36,19,2009,-89.47368421052632
889,Proteko Service,Italy,Support Services,40.04,5502450,2003540,31,7,2016,-342.85714285714283
890,MiniCRM,Hungary,Technology,40.03,2232347,944107,26,26,2012,0.0
891,CNQ Consorzio Nazionale Qualità,Italy,Waste management & recycling,40.03,2151050,783460,39,13,2001,-200.0
892,Accolade,Czech Republic,Property,39.98,83981636,31477723,30,10,2010,-200.0
893,Panel Sandwich,Spain,Construction,39.93,9637845,3517519,27,9,2009,-200.0
894,SYMBIOSE Informatique,France,Technology,39.93,33080096,12074454,32,28,1991,-14.285714285714285
895,G.Engineering,Italy,Industrial Goods,39.92,16504780,6024830,51,24,2012,-112.5
896,I-PARTICULIERS,France,Property,39.84,4071600,1488875,200,50,2011,-300.0
897,Henco,Germany,Retail,39.82,6970679,2550263,48,25,2012,-92.0
898,Giglio.com,Italy,Ecommerce,39.78,25355630,9283620,53,25,2007,-112.00000000000001
899,Alphaspel,Sweden,Retail,39.76,4535769,1699234,16,5,2013,-220.00000000000003
900,Sapiegos Klinika,Lithuania,Health,39.67,1578677,579436,24,14,2014,-71.42857142857143
901,OpenCorporates,UK,Technology,39.62,2730677,1010498,25,9,2010,-177.77777777777777
902,BE CLOUD,France,Support Services,39.61,10371094,3811605,49,22,2012,-122.72727272727273
903,Drukarnia piga.pl,Poland,Ecommerce,39.59,4064038,1632988,130,60,2014,-116.66666666666667
904,groupe mister menuiserie,France,Ecommerce,39.59,68009314,25003047,227,84,2010,-170.23809523809524
905,Insetto,Germany,Retail,39.57,6010130,2210651,79,51,1999,-54.90196078431373
906,Technophage,Portugal,Pharmaceuticals,39.54,2237180,823381,13,9,2005,-44.44444444444444
907,skalis portage salarial,France,Support Services,39.44,6202068,2287420,68,25,2008,-172.0
908,peoplegrapher,Germany,Advertising,39.4,3561298,1314806,11,5,2016,-120.0
909,Reveg Fruit,Italy,Food & Beverage,39.39,2356570,870070,4,2,2016,-100.0
910,Sciant,Bulgaria,Technology,39.39,3192139,1178653,79,39,2016,-102.56410256410255
911,Boender & Beutel,Germany,Industrial Goods,39.36,14550131,5376347,130,50,2012,-160.0
912,EKINOPS,France,Telecoms,39.36,92800000,34291000,456,419,2003,-8.83054892601432
913,Sano-Técnica,Portugal,Health,39.34,4972658,1838120,13,12,1938,-8.333333333333332
914,möbelando,Germany,Retail,39.34,16692390,6170577,24,16,2013,-50.0
915,Democom,Italy,Telecoms,39.31,3347950,1238210,37,12,2011,-208.33333333333334
916,Erbagil,Italy,Pharmaceuticals,39.22,4021010,1490280,11,3,2009,-266.66666666666663
917,Axopar Boats,Finland,Travel & Leisure,39.13,78765693,29247774,32,9,2014,-255.55555555555554
918,Advanced Composites Solutions,Italy,Automobiles,39.05,5393690,2006100,54,11,2012,-390.90909090909093
919,Spartivento Yachts & Charter,Italy,Travel & Leisure,39.04,5194630,1932580,34,12,2000,-183.33333333333331
920,Seargin,Poland,Technology,39.02,18624755,7576080,64,39,2014,-64.1025641025641
921,TTP HOLDING,Germany,Support Services,39.02,37607000,13997000,32,28,2009,-14.285714285714285
922,Sweef furniture,Sweden,Retail,39.0,9506903,3620585,14,5,2011,-180.0
923,SONIC Tanácsadó és Szolgáltató Kft,Hungary,Technology,38.99,4646080,2009719,10,5,2008,-100.0
924,spotit,Belgium,Cyber Security,38.91,20387729,7606472,71,30,2014,-136.66666666666666
925,LABEL EXPERIENCE,France,Financial Services,38.91,1756470,655366,27,11,2016,-145.45454545454547
926,LMM Logistics,Italy,Transport,38.88,14113040,5268390,724,2,2015,-36100.0
927,Medicalfit,Spain,Health,38.86,2378517,888395,35,15,2008,-133.33333333333331
928,Nuova MG,Italy,Industrial Goods,38.83,2126840,794770,26,23,2017,-13.043478260869565
929,innov and co handicap,France,Technology,38.83,1879824,702609,30,7,2016,-328.57142857142856
930,Alma Entreprise,France,Construction,38.82,13438347,5023015,31,33,2003,6.0606060606060606
931,Radit,Italy,Support Services,38.78,1879520,703190,15,8,2016,-87.5
932,REGIONAL EXPRESS,France,Transport,38.74,22841800,8552857,220,80,2013,-175.0
933,Aravati,France,Support Services,38.69,6671500,2500644,59,26,2004,-126.92307692307692
934,Pöhner Hamburg,Germany,Retail,38.67,15603000,5851000,7,4,2013,-75.0
935,Schreinerei Huber,Germany,Construction,38.65,2629044,986286,21,18,2010,-16.666666666666664
936,ISR,France,Technology,38.62,4637943,1741112,12,12,1996,0.0
937,Kinga Mathe,Germany,Retail,38.59,1800494,676431,5,2,2008,-150.0
938,Rivile,Lithuania,Technology,38.58,3905042,1467195,24,20,1992,-20.0
939,MaGarantie5ans,France,Retail,38.57,9253546,3477788,20,8,2016,-150.0
940,BEBEBOUTIK,France,Retail,38.51,29080296,10944325,98,36,2012,-172.22222222222223
941,Radar Cyber Security,Austria,Technology,38.46,12727043,4794822,122,88,2011,-38.63636363636363
942,CLAIR GROUP,France,Aerospace & Defence,38.44,38960985,14683064,121,49,2004,-146.9387755102041
943,Appsfactory,Germany,Technology,38.43,18044631,6801966,221,105,2009,-110.47619047619048
944,Stiltz Homelifts,UK,Interiors,38.37,36960953,14051407,250,142,2010,-76.05633802816901
945,Star Stone,Romania,Construction,38.35,4409476,1729707,105,48,2012,-118.75
946,Coptrz,UK,Aerospace & Defence,38.34,6297471,2395445,22,10,2016,-120.0
947,Nurole,UK,Technology,38.34,3249493,1236098,35,15,2014,-133.33333333333331
948,ABAO Energy,Germany,Construction,38.28,2406917,910386,15,10,2016,-50.0
949,Welol Next,Italy,Technology,38.2,2685440,1017320,32,16,2011,-100.0
950,Intent HQ,UK,Technology,38.2,5762891,2199126,75,22,2010,-240.9090909090909
951,Café du Cycliste,France,Ecommerce,38.11,7445865,2826571,20,14,2009,-42.857142857142854
